STATE,YEAR,NUMBER OF DAYS OF RAINFALL,ANNUAL RAINFALL
Johor,2000,202.5,2293.3
Johor,2001,203.0,2170.9
Johor,2002,180.5,2238.1
Johor,2003,197.0,2203.1
Johor,2004,177.0,2496.2
Johor,2005,179.0,2233.8
Johor,2006,198.5,2968.7
Johor,2007,198.5,3050.5
Johor,2008,202.5,2964.2
Johor,2009,167.0,1913.9
Johor,2010,202.5,2214.45
Johor,2011,200.0,2865.1
Johor,2012,190.0,2350.0
Johor,2013,192.5,2438.65
Johor,2014,171.5,2431.3
Johor,2015,158.25,2078.95
Johor,2016,173.5,1749.5
Johor,2017,197.75,2378.125
Johor,2018,183.0,2266.5249999999996
Johor,2019,158.0,2174.525
Johor,2020,194.5,2458.8
Johor,2021,188.0,2635.2
Kedah,2000,179.0,2154.1
Kedah,2001,179.5,2052.95
Kedah,2002,165.0,2164.6
Kedah,2003,155.5,2704.25
Kedah,2004,157.5,2120.35
Kedah,2005,174.0,2697.6
Kedah,2006,176.0,2494.5
Kedah,2007,176.5,2395.3
Kedah,2008,177.0,2308.65
Kedah,2009,170.0,2644.8
Kedah,2010,180.0,2398.2
Kedah,2011,170.5,2272.6
Kedah,2012,194.5,2580.2
Kedah,2013,165.5,2222.85
Kedah,2014,174.5,2138.0
Kedah,2015,174.0,2309.1000000000004
Kedah,2016,149.5,1868.3000000000002
Kedah,2017,189.0,2824.0
Kedah,2018,172.0,2202.2
Kedah,2019,157.5,2296.95
Kedah,2020,192.0,2570.0
Kedah,2021,173.0,2272.0
Kelantan,2000,177.0,3012.2
Kelantan,2001,178.0,2559.85
Kelantan,2002,162.5,1886.85
Kelantan,2003,189.5,2534.85
Kelantan,2004,162.0,2340.35
Kelantan,2005,174.5,2665.0
Kelantan,2006,177.5,2393.2
Kelantan,2007,188.0,2555.7
Kelantan,2008,188.5,3349.25
Kelantan,2009,179.0,3170.55
Kelantan,2010,173.5,2605.5
Kelantan,2011,195.0,3363.0
Kelantan,2012,182.0,2796.9
Kelantan,2013,172.5,2684.4
Kelantan,2014,147.5,3058.3500000000004
Kelantan,2015,157.0,2138.7
Kelantan,2016,160.5,2470.6000000000004
Kelantan,2017,190.0,3418.7
Kelantan,2018,164.0,2592.1
Kelantan,2019,164.33333333333334,1758.0666666666666
Kelantan,2020,176.66666666666666,3189.7333333333336
Kelantan,2021,185.5,2796.7
Kuala Lumpur,2000,206.0,2811.5
Kuala Lumpur,2001,212.0,2651.5
Kuala Lumpur,2002,193.0,2694.5
Kuala Lumpur,2003,219.0,2843.1
Kuala Lumpur,2004,185.0,2775.6
Kuala Lumpur,2005,182.0,2292.4
Kuala Lumpur,2006,225.0,3455.0
Kuala Lumpur,2007,203.0,2871.8
Kuala Lumpur,2008,203.0,3278.6
Kuala Lumpur,2009,200.0,2857.4
Kuala Lumpur,2010,215.0,3105.0
Kuala Lumpur,2011,205.0,2668.4
Kuala Lumpur,2012,191.0,3100.5
Kuala Lumpur,2013,196.0,2872.0
Kuala Lumpur,2014,188.0,2567.8
Kuala Lumpur,2015,218.0,3355.3
Kuala Lumpur,2016,189.0,2635.8
Kuala Lumpur,2017,206.0,2632.8
Kuala Lumpur,2018,221.0,3535.4
Kuala Lumpur,2019,200.0,3138.6
Kuala Lumpur,2020,206.0,3236.0
Kuala Lumpur,2021,188.0,3564.8
Negeri Sembilan,2000,178.0,2161.5
Negeri Sembilan,2001,202.0,2215.5
Negeri Sembilan,2002,155.5,1948.9
Negeri Sembilan,2003,185.5,2240.65
Negeri Sembilan,2004,156.0,1660.8
Negeri Sembilan,2005,153.5,1663.2
Negeri Sembilan,2006,183.0,2080.45
Negeri Sembilan,2007,191.0,2108.2
Negeri Sembilan,2008,165.5,2143.5
Negeri Sembilan,2009,165.5,1988.6
Negeri Sembilan,2010,184.5,2128.8
Negeri Sembilan,2011,174.0,1738.8000000000002
Negeri Sembilan,2012,181.5,2077.3
Negeri Sembilan,2013,161.0,1506.65
Negeri Sembilan,2014,152.0,2026.1
Negeri Sembilan,2015,157.0,2173.05
Negeri Sembilan,2016,167.5,1969.3999999999999
Negeri Sembilan,2017,202.0,2303.25
Negeri Sembilan,2018,192.5,2407.0
Negeri Sembilan,2019,141.5,1746.25
Negeri Sembilan,2020,169.5,2038.4
Negeri Sembilan,2021,170.0,2282.7
Pahang,2000,219.0,3019.7
Pahang,2001,221.0,3185.55
Pahang,2002,188.0,2676.7
Pahang,2003,225.0,3387.7
Pahang,2004,197.0,2863.3
Pahang,2005,195.0,2798.2
Pahang,2006,215.0,2877.45
Pahang,2007,215.0,3222.95
Pahang,2008,221.5,3644.55
Pahang,2009,216.5,3379.1
Pahang,2010,208.0,2385.0
Pahang,2011,218.5,3276.35
Pahang,2012,222.0,3072.6000000000004
Pahang,2013,210.0,3131.5
Pahang,2014,189.0,3335.3
Pahang,2015,158.4,1921.94
Pahang,2016,176.8,1938.52
Pahang,2017,201.8,2793.7799999999997
Pahang,2018,188.2,2406.56
Pahang,2019,167.4,1737.6200000000001
Pahang,2020,193.6,2262.12
Pahang,2021,190.25,2641.875
Perak,2000,189.0,2304.15
Perak,2001,195.5,1960.05
Perak,2002,157.0,1820.5
Perak,2003,210.0,2764.3500000000004
Perak,2004,178.0,2209.9
Perak,2005,166.0,2025.0
Perak,2006,192.0,2639.25
Perak,2007,176.0,2160.85
Perak,2008,198.5,2879.55
Perak,2009,196.5,2591.15
Perak,2010,199.0,2353.35
Perak,2011,181.0,2526.7
Perak,2012,188.5,2306.2
Perak,2013,180.5,2319.7
Perak,2014,173.5,2082.1
Perak,2015,176.33333333333334,2287.1666666666665
Perak,2016,168.33333333333334,1792.5666666666666
Perak,2017,195.66666666666666,2404.2333333333336
Perak,2018,203.0,2415.3333333333335
Perak,2019,178.33333333333334,2083.8333333333335
Perak,2020,203.0,2479.1666666666665
Perak,2021,184.66666666666666,2336.866666666667
Perlis,2000,197.0,1947.0
Perlis,2001,185.0,1789.4
Perlis,2002,156.0,1902.6
Perlis,2003,164.0,1837.3
Perlis,2004,155.0,1721.8
Perlis,2005,162.0,2155.3
Perlis,2006,156.0,2164.8
Perlis,2007,172.0,2128.6
Perlis,2008,176.0,1772.4
Perlis,2009,165.0,2107.1
Perlis,2010,175.0,2201.9
Perlis,2011,164.0,2162.0
Perlis,2012,178.0,2065.6
Perlis,2013,156.0,1714.2
Perlis,2014,154.0,1880.9
Perlis,2015,157.0,2123.8
Perlis,2016,140.0,1563.3
Perlis,2017,173.0,2313.4
Perlis,2018,171.0,1839.6
Perlis,2019,151.0,1553.8
Perlis,2020,172.0,2195.0
Perlis,2021,168.0,2081.0
Pulau Pinang,2000,187.0,2579.7
Pulau Pinang,2001,192.0,2286.3
Pulau Pinang,2002,156.5,1860.5
Pulau Pinang,2003,181.0,2762.45
Pulau Pinang,2004,172.0,2102.5
Pulau Pinang,2005,168.0,2027.3
Pulau Pinang,2006,178.0,2209.6
Pulau Pinang,2007,177.0,2165.8
Pulau Pinang,2008,180.5,2351.7
Pulau Pinang,2009,188.5,2806.9
Pulau Pinang,2010,173.5,2053.9
Pulau Pinang,2011,173.5,2411.7
Pulau Pinang,2012,186.0,2272.7
Pulau Pinang,2013,174.0,2531.6
Pulau Pinang,2014,164.0,2071.05
Pulau Pinang,2015,187.0,2744.15
Pulau Pinang,2016,168.5,2366.0
Pulau Pinang,2017,177.0,2633.0
Pulau Pinang,2018,189.5,2374.7
Pulau Pinang,2019,155.5,1949.5500000000002
Pulau Pinang,2020,177.0,1996.0
Pulau Pinang,2021,172.5,2107.5
Sabah,2000,211.5,2574.625
Sabah,2001,201.5,2899.85
Sabah,2002,158.25,1733.125
Sabah,2003,175.0,2404.225
Sabah,2004,165.5,2323.75
Sabah,2005,167.5,2580.3
Sabah,2006,194.75,3622.025
Sabah,2007,186.5,2952.6
Sabah,2008,207.0,3065.525
Sabah,2009,191.75,2889.95
Sabah,2010,173.0,2269.55
Sabah,2011,222.25,3661.425
Sabah,2012,205.75,2855.875
Sabah,2013,198.0,2557.85
Sabah,2014,169.5,2609.825
Sabah,2015,145.75,1889.925
Sabah,2016,163.5,2234.4
Sabah,2017,207.0,3244.275
Sabah,2018,187.75,2512.2250000000004
Sabah,2019,162.33333333333334,1749.7333333333333
Sabah,2020,190.33333333333334,2372.7166666666667
Sabah,2021,206.66666666666666,2711.866666666667
Sarawak,2000,222.0,3648.7999999999997
Sarawak,2001,227.0,3387.55
Sarawak,2002,210.5,3609.05
Sarawak,2003,225.5,3950.75
Sarawak,2004,211.0,3754.7
Sarawak,2005,210.0,3325.2
Sarawak,2006,214.5,3409.45
Sarawak,2007,245.5,4017.7
Sarawak,2008,230.0,3643.95
Sarawak,2009,214.5,3990.9
Sarawak,2010,233.5,3825.55
Sarawak,2011,222.0,3931.2
Sarawak,2012,225.0,3266.3
Sarawak,2013,228.0,3625.3999999999996
Sarawak,2014,196.0,3032.55
Sarawak,2015,210.4,3427.5800000000004
Sarawak,2016,227.0,3767.6400000000003
Sarawak,2017,236.0,3837.0
Sarawak,2018,225.2,3918.5199999999995
Sarawak,2019,206.125,2314.8625
Sarawak,2020,248.75,3961.35
Sarawak,2021,234.625,3991.925
Selangor,2015,218.0,3757.4
Selangor,2016,190.0,3420.4
Selangor,2017,208.0,2536.6
Selangor,2018,223.0,3851.5
Selangor,2019,214.0,3673.2
Selangor,2020,212.0,3817.0
Selangor,2021,,
Terengganu,2000,171.0,3187.0
Terengganu,2001,166.0,2580.4
Terengganu,2002,145.0,2329.1
Terengganu,2003,179.0,3341.7
Terengganu,2004,157.0,2194.4
Terengganu,2005,164.0,2825.0
Terengganu,2006,160.0,2047.0
Terengganu,2007,173.0,2129.0
Terengganu,2008,165.0,3609.6
Terengganu,2009,178.0,3593.6
Terengganu,2010,170.0,2363.2
Terengganu,2011,189.0,3645.4
Terengganu,2012,197.0,3094.4
Terengganu,2013,180.0,2908.0
Terengganu,2014,137.0,2870.6
Terengganu,2015,141.0,1860.4
Terengganu,2016,171.0,2946.4
Terengganu,2017,176.0,3074.4
Terengganu,2018,171.0,2646.0
Terengganu,2019,111.5,1603.5
Terengganu,2020,177.5,3238.8
Terengganu,2021,184.5,2518.3999999999996
Wilayah Persekutuan Labuan,2000,216.0,3678.1
Wilayah Persekutuan Labuan,2001,222.0,3652.6
Wilayah Persekutuan Labuan,2002,165.0,3061.2
Wilayah Persekutuan Labuan,2003,178.0,3207.2
Wilayah Persekutuan Labuan,2004,176.0,2407.9
Wilayah Persekutuan Labuan,2005,183.0,3761.1
Wilayah Persekutuan Labuan,2006,218.0,3151.8
Wilayah Persekutuan Labuan,2007,222.0,3277.1
Wilayah Persekutuan Labuan,2008,207.0,3823.4
Wilayah Persekutuan Labuan,2009,190.0,2927.4
Wilayah Persekutuan Labuan,2010,218.0,4628.6
Wilayah Persekutuan Labuan,2011,218.0,3410.8
Wilayah Persekutuan Labuan,2012,191.0,3323.4
Wilayah Persekutuan Labuan,2013,209.0,3114.2
Wilayah Persekutuan Labuan,2014,193.0,3054.8
Wilayah Persekutuan Labuan,2015,177.0,2840.4
Wilayah Persekutuan Labuan,2016,174.0,3117.5
Wilayah Persekutuan Labuan,2017,211.0,4938.9
Wilayah Persekutuan Labuan,2018,207.0,3033.2
Wilayah Persekutuan Labuan,2019,180.0,3433.6
Wilayah Persekutuan Labuan,2020,203.0,4301.3
Wilayah Persekutuan Labuan,2021,225.0,4127.5
